text,sector,severity,municipal_corp,date,month,year
Road markings faded on Main Street in KDMC jurisdiction,road,0,KDMC,2024-10-22,10,2024
Industrial waste mixing in LMC jurisdiction,sanitation,2,LMC,2024-01-22,1,2024
Park lights not functioning in KMC jurisdiction,electricity,0,KMC,2023-09-27,9,2023
Voltage fluctuations frequent in JMC jurisdiction,electricity,1,JMC,2023-04-24,4,2023
Recycling not being done,sanitation,0,KMC,2023-07-26,7,2023
Road hump needs repainting on Hospital Lane in VMC jurisdiction,road,0,VMC,2024-08-27,8,2024
Poor road repair work on Gandhi Road in UMC jurisdiction,road,1,UMC,2024-11-03,11,2024
Construction waste on roadside in MMC jurisdiction,sanitation,1,MMC,2023-07-04,7,2023
Electrical meter issue in UMC jurisdiction,electricity,0,UMC,2024-04-08,4,2024
Low water pressure in Affluent Society in NMC jurisdiction,water,1,NMC,2023-11-06,11,2023
Road surface cracks on Nehru Marg in CMC jurisdiction,road,0,CMC,2023-11-04,11,2023
Littering in public park,sanitation,0,NMC,2024-08-13,8,2024
Medical waste in regular garbage,sanitation,2,JMC,2024-03-20,3,2024
Public toilet in park dirty in SMC jurisdiction,parks,2,SMC,2024-10-09,10,2024
Public tap not working at Ward 5 in UMC jurisdiction,water,0,UMC,2024-12-15,12,2024
Roadside vegetation obstructing view,road,1,VMC,2024-08-12,8,2024
Poor road repair work on Hospital Lane in KDMC jurisdiction,road,1,KDMC,2024-12-15,12,2024
Park lights not functioning in GMC jurisdiction,electricity,0,GMC,2024-08-12,8,2024
Sewage smell in South Zone in RMC jurisdiction,sanitation,1,RMC,2024-11-02,11,2024
Water treatment plant issue in WMC jurisdiction,water,2,WMC,2024-03-27,3,2024
Recycling not being done,sanitation,0,RMC,2023-03-29,3,2023
Tree branch fallen on road at Ward 1 in KMC jurisdiction,road,2,KMC,2023-04-24,4,2023
Speed breaker damaged on MG Road in RMC jurisdiction,road,1,RMC,2024-10-26,10,2024
Demolition debris not cleared in PMC jurisdiction,building,1,PMC,2024-09-03,9,2024
Pothole developing on Main Street in LMC jurisdiction,road,1,LMC,2024-06-26,6,2024
Recycling not being done in VMC jurisdiction,sanitation,0,VMC,2024-08-09,8,2024
Fire safety violation in JMC jurisdiction,building,2,JMC,2023-07-31,7,2023
Drain blockage at Ward 7 in GMC jurisdiction,water,1,GMC,2023-07-09,7,2023
Building maintenance overdue in WMC jurisdiction,building,1,WMC,2024-09-02,9,2024
Water treatment plant issue in DMC jurisdiction,water,2,DMC,2023-07-17,7,2023
Property tax assessment error,building,0,LMC,2023-10-20,10,2023
Drain blockage at Industrial Area,water,1,BMC,2024-04-07,4,2024
Street light sensor not working in CMC jurisdiction,electricity,0,CMC,2024-02-28,2,2024
Electrical maintenance overdue in CMC jurisdiction,electricity,1,CMC,2024-03-28,3,2024
Littering in public park in KDMC jurisdiction,sanitation,0,KDMC,2023-07-02,7,2023
Road hump needs repainting on Park Avenue,road,0,RMC,2024-07-17,7,2024
Electrical meter issue in GMC jurisdiction,electricity,0,GMC,2024-06-21,6,2024
Water meter not working in CMC jurisdiction,water,0,CMC,2024-10-09,10,2024
Unauthorized dumping ground,sanitation,2,SMC,2023-01-02,1,2023
Low water pressure in Ward 4 in JMC jurisdiction,water,1,JMC,2023-12-16,12,2023
Street light flickering at Affluent Society in MMC jurisdiction,electricity,0,MMC,2024-11-25,11,2024
Electrical meter issue in JMC jurisdiction,electricity,0,JMC,2023-06-02,6,2023
Major road collapse on College Road in UMC jurisdiction,road,2,UMC,2023-07-11,7,2023
Drainage cover broken on road in NMC jurisdiction,road,1,NMC,2023-06-29,6,2023
Building completion certificate issue,building,1,KMC,2024-04-15,4,2024
Public tap not working at South Zone,water,0,GMC,2024-11-18,11,2024
Minor pothole on Gandhi Road in TMC jurisdiction,road,0,TMC,2024-07-16,7,2024
Low water pressure in Slum Area,water,1,KMC,2023-02-21,2,2023
Roadside vegetation obstructing view in AMC jurisdiction,road,1,AMC,2023-11-16,11,2023
Stagnant water causing mosquito breeding in JMC jurisdiction,water,1,JMC,2023-01-31,1,2023
High mast light not working in MMC jurisdiction,electricity,1,MMC,2024-07-15,7,2024
Power cut during office hours in LMC jurisdiction,electricity,1,LMC,2024-03-31,3,2024
Leaking pipeline near South Zone in CMC jurisdiction,water,1,CMC,2024-11-26,11,2024
Tap leaking at Central Zone,water,0,NMC,2023-02-24,2,2023
Emergency lights not working in PMC jurisdiction,electricity,2,PMC,2023-02-01,2,2023
Major road collapse on MG Road in KMC jurisdiction,road,2,KMC,2023-01-17,1,2023
Park security issue in MMC jurisdiction,parks,1,MMC,2024-06-05,6,2024
Public toilet unclean at Market Area in SMC jurisdiction,sanitation,1,SMC,2024-08-14,8,2024
Composting facility issue,sanitation,1,GMC,2024-08-13,8,2024
Construction noise after hours in RMC jurisdiction,building,1,RMC,2024-12-08,12,2024
Construction debris on Lake Side in DMC jurisdiction,road,1,DMC,2023-10-29,10,2023
Tree branch fallen on road at Ward 2 in NMC jurisdiction,road,2,NMC,2024-08-15,8,2024
Park closing early in KMC jurisdiction,parks,0,KMC,2023-09-21,9,2023
Road surface cracks on Garden Street in CMC jurisdiction,road,0,CMC,2023-06-29,6,2023
Pothole developing on Link Road,road,1,RMC,2023-04-29,4,2023
High mast light not working in DMC jurisdiction,electricity,1,DMC,2024-12-23,12,2024
Low water pressure in North Zone,water,1,MMC,2024-04-04,4,2024
Irregular water supply timing,water,1,BMC,2024-10-14,10,2024
Stray animals in garbage in GMC jurisdiction,sanitation,1,GMC,2023-04-11,4,2023
Speed breaker damaged on MG Road in TMC jurisdiction,road,1,TMC,2024-06-21,6,2024
Speed breaker damaged on Church Street in CMC jurisdiction,road,1,CMC,2024-09-11,9,2024
Dead animal not removed,sanitation,2,CMC,2024-12-13,12,2024
Garbage truck leaking in JMC jurisdiction,sanitation,1,JMC,2023-03-17,3,2023
Pipeline repair work incomplete,water,1,PMC,2023-04-16,4,2023
Pothole developing on School Road in LMC jurisdiction,road,1,LMC,2024-10-17,10,2024
Construction waste on roadside in VMC jurisdiction,sanitation,1,VMC,2023-01-04,1,2023
Medical waste in regular garbage in PMC jurisdiction,sanitation,2,PMC,2023-11-07,11,2023
Medical waste in regular garbage in KDMC jurisdiction,sanitation,2,KDMC,2023-12-15,12,2023
Stagnant water causing mosquito breeding in PMC jurisdiction,water,1,PMC,2024-10-09,10,2024
Road surface cracks on School Road in TMC jurisdiction,road,0,TMC,2024-07-07,7,2024
Road hump needs repainting on Temple Street in HMC jurisdiction,road,0,HMC,2024-08-16,8,2024
Pothole developing on School Road,road,1,DMC,2024-09-25,9,2024
Speed breaker damaged on School Road in PMC jurisdiction,road,1,PMC,2024-09-22,9,2024
Large dangerous pothole on College Road causing accidents in CMC jurisdiction,road,2,CMC,2023-03-06,3,2023
Sidewalk damaged on Garden Street in RMC jurisdiction,road,1,RMC,2024-08-18,8,2024
Missing manhole cover on Station Road in WMC jurisdiction,road,2,WMC,2024-05-13,5,2024
Tap leaking at Ward 4 in JMC jurisdiction,water,0,JMC,2023-04-11,4,2023
Water meter not working in LMC jurisdiction,water,0,LMC,2023-12-18,12,2023
Tap leaking at Commercial Complex,water,0,WMC,2023-08-24,8,2023
Park security issue in CMC jurisdiction,parks,1,CMC,2024-04-18,4,2024
Street light flickering at Market Area,electricity,0,UMC,2023-05-16,5,2023
Garbage overflow at Ward 3 in LMC jurisdiction,sanitation,1,LMC,2024-12-08,12,2024
Speed breaker damaged on Temple Street,road,1,UMC,2023-07-29,7,2023
Industrial waste mixing,sanitation,2,KDMC,2024-04-13,4,2024
Tap leaking at Ward 6 in KDMC jurisdiction,water,0,KDMC,2024-12-14,12,2024
Electrical maintenance overdue in HMC jurisdiction,electricity,1,HMC,2024-08-03,8,2024
Low water pressure in South Zone,water,1,CMC,2023-06-01,6,2023
Sewage backup in Commercial Complex,water,2,CMC,2024-03-28,3,2024
Stray animals in garbage in KDMC jurisdiction,sanitation,1,KDMC,2024-10-18,10,2024
Park lights not functioning in RMC jurisdiction,electricity,0,RMC,2024-03-13,3,2024
Water meter not working,water,0,RMC,2024-07-28,7,2024
Public tap not working at Commercial Complex,water,0,LMC,2023-05-21,5,2023
Leaking pipeline near Ward 1,water,1,LMC,2023-06-07,6,2023
Unauthorized building modifications in DMC jurisdiction,building,2,DMC,2023-10-22,10,2023
Roadside vegetation obstructing view in CMC jurisdiction,road,1,CMC,2023-09-22,9,2023
Power cut during office hours in PMC jurisdiction,electricity,1,PMC,2024-08-12,8,2024
Stagnant water causing mosquito breeding in KMC jurisdiction,water,1,KMC,2024-12-10,12,2024
Minor pothole on Office Lane,road,0,AMC,2024-07-10,7,2024
No water supply for 24+ hours in NMC jurisdiction,water,2,NMC,2024-12-05,12,2024
Construction waste on roadside in HMC jurisdiction,sanitation,1,HMC,2023-03-20,3,2023
Water contamination reported in Ward 1,water,2,PMC,2024-03-17,3,2024
Large dangerous pothole on School Road causing accidents in HMC jurisdiction,road,2,HMC,2023-09-17,9,2023
Tap leaking at Ward 7 in PMC jurisdiction,water,0,PMC,2023-07-24,7,2023
Partial power failure in Commercial Complex,electricity,1,KDMC,2024-06-25,6,2024
Electrical maintenance overdue in AMC jurisdiction,electricity,1,AMC,2023-04-20,4,2023
Leaking pipeline near Market Area in CMC jurisdiction,water,1,CMC,2023-11-18,11,2023
Road markings faded on Temple Street,road,0,RMC,2023-03-26,3,2023
Road markings faded on Garden Street in WMC jurisdiction,road,0,WMC,2024-02-22,2,2024
Flower beds neglected,parks,0,KDMC,2024-11-26,11,2024
Poor road repair work on Garden Street in PMC jurisdiction,road,1,PMC,2024-11-23,11,2024
Speed breaker damaged on Station Road in CMC jurisdiction,road,1,CMC,2023-07-23,7,2023
Power fluctuations damaging appliances,electricity,2,PMC,2024-05-26,5,2024
Drain blockage at Industrial Area in GMC jurisdiction,water,1,GMC,2023-09-14,9,2023
Building material on road in JMC jurisdiction,building,1,JMC,2024-09-30,9,2024
Traffic signal not working at Ward 7 in DMC jurisdiction,road,2,DMC,2024-05-24,5,2024
Street light sensor not working in DMC jurisdiction,electricity,0,DMC,2024-08-08,8,2024
Power cut during office hours in NMC jurisdiction,electricity,1,NMC,2024-08-27,8,2024
Littering in public park,sanitation,0,CMC,2024-10-02,10,2024
Road hump needs repainting on Hill Road in RMC jurisdiction,road,0,RMC,2023-09-08,9,2023
Garbage truck leaking in KDMC jurisdiction,sanitation,1,KDMC,2023-06-23,6,2023
Road hump needs repainting on Cross Street in CMC jurisdiction,road,0,CMC,2024-05-15,5,2024
Dumpster missing lid in HMC jurisdiction,sanitation,0,HMC,2023-11-03,11,2023
Public tap not working at Commercial Complex in KDMC jurisdiction,water,0,KDMC,2023-12-11,12,2023
Recycling not being done in NMC jurisdiction,sanitation,0,NMC,2024-09-07,9,2024
Poor road repair work on Hill Road in KDMC jurisdiction,road,1,KDMC,2023-04-03,4,2023
Electrical pole leaning dangerously in HMC jurisdiction,electricity,2,HMC,2023-04-03,4,2023
Missing manhole cover on Nehru Marg,road,2,JMC,2023-08-12,8,2023
Water supply contaminated with sewage in JMC jurisdiction,water,2,JMC,2024-11-30,11,2024
Water quality issues in Slum Area,water,2,KMC,2023-11-12,11,2023
Building completion certificate issue in BMC jurisdiction,building,1,BMC,2024-01-29,1,2024
Unauthorized commercial use,building,1,PMC,2024-03-29,3,2024
Walking track damaged in GMC jurisdiction,parks,1,GMC,2023-08-30,8,2023
Dog waste in park in LMC jurisdiction,parks,0,LMC,2024-10-21,10,2024
Pothole developing on River View in KMC jurisdiction,road,1,KMC,2023-11-09,11,2023
Poor road repair work on River View,road,1,AMC,2024-08-07,8,2024
Encroachment on public land,building,2,WMC,2024-04-18,4,2024
Public bins missing in VMC jurisdiction,sanitation,0,VMC,2023-06-02,6,2023
Street light timing incorrect,electricity,0,CMC,2023-09-30,9,2023
Minor pothole on Service Road,road,0,KMC,2023-08-30,8,2023
Occupancy certificate delay,building,1,CMC,2024-09-03,9,2024
Building cracks noticed in BMC jurisdiction,building,1,BMC,2024-09-26,9,2024
Unauthorized commercial use in KMC jurisdiction,building,1,KMC,2023-07-03,7,2023
Park closing early,parks,0,GMC,2023-09-28,9,2023
Tap leaking at Ward 6 in BMC jurisdiction,water,0,BMC,2023-09-24,9,2023
Street light flickering at Central Zone in KMC jurisdiction,electricity,0,KMC,2023-10-18,10,2023
High mast light not working,electricity,1,KDMC,2024-11-24,11,2024
Road hump needs repainting on Link Road in DMC jurisdiction,road,0,DMC,2023-01-06,1,2023
Water supply contaminated with sewage,water,2,KDMC,2024-01-26,1,2024
Tap leaking at Ward 1,water,0,VMC,2023-06-16,6,2023
Electrical maintenance overdue in VMC jurisdiction,electricity,1,VMC,2024-09-06,9,2024
Dead animal not removed in WMC jurisdiction,sanitation,2,WMC,2024-03-12,3,2024
Water meter not working in MMC jurisdiction,water,0,MMC,2024-07-18,7,2024
Low water pressure in Ward 4,water,1,HMC,2024-04-18,4,2024
Sewage backup in Ward 7 in JMC jurisdiction,water,2,JMC,2024-09-10,9,2024
Electrical maintenance overdue in WMC jurisdiction,electricity,1,WMC,2024-09-23,9,2024
Garbage truck leaking in VMC jurisdiction,sanitation,1,VMC,2023-05-19,5,2023
Leaking pipeline near Ward 3 in UMC jurisdiction,water,1,UMC,2024-04-19,4,2024
Public tap not working at Industrial Area,water,0,KMC,2024-04-27,4,2024
Public tap not working at Residential Colony in NMC jurisdiction,water,0,NMC,2023-01-09,1,2023
Drain blockage at North Zone,water,1,TMC,2024-04-25,4,2024
Road hump needs repainting on Market Road,road,0,JMC,2024-12-29,12,2024
Drain blockage at Ward 6 in DMC jurisdiction,water,1,DMC,2024-09-12,9,2024
Unauthorized dumping ground in DMC jurisdiction,sanitation,2,DMC,2024-07-24,7,2024
Major road collapse on Station Road,road,2,RMC,2024-05-30,5,2024
Drainage cover broken on road in WMC jurisdiction,road,1,WMC,2023-08-18,8,2023
Garbage overflow at Affluent Society in PMC jurisdiction,sanitation,1,PMC,2024-10-07,10,2024
Dumpster missing lid in DMC jurisdiction,sanitation,0,DMC,2023-06-25,6,2023
Overflowing water tank at Ward 5,water,2,RMC,2024-06-26,6,2024
Tap leaking at Affluent Society,water,0,KMC,2023-03-28,3,2023
Park lights not functioning in VMC jurisdiction,electricity,0,VMC,2024-07-11,7,2024
Voltage fluctuations frequent,electricity,1,RMC,2023-11-05,11,2023
Billboard lights causing glare in KMC jurisdiction,electricity,1,KMC,2024-06-07,6,2024
Complete blackout in Ward 1,electricity,2,AMC,2024-07-06,7,2024
Road damage after rains on Main Street,road,2,MMC,2023-09-23,9,2023
Composting facility issue in KMC jurisdiction,sanitation,1,KMC,2023-09-11,9,2023
Tap leaking at Slum Area in MMC jurisdiction,water,0,MMC,2023-03-21,3,2023
Voltage fluctuations frequent,electricity,1,HMC,2024-08-21,8,2024
Building maintenance overdue,building,1,PMC,2023-04-23,4,2023
Street light flickering at Central Zone in KMC jurisdiction,electricity,0,KMC,2024-01-19,1,2024
Public tap not working at Slum Area in AMC jurisdiction,water,0,AMC,2024-07-14,7,2024
Garbage overflow at Commercial Complex in AMC jurisdiction,sanitation,1,AMC,2024-12-25,12,2024
Complete blackout in Ward 4 in HMC jurisdiction,electricity,2,HMC,2024-06-28,6,2024
Traffic signal not working at Ward 3,road,2,SMC,2024-09-13,9,2024
Power cut during office hours in TMC jurisdiction,electricity,1,TMC,2024-02-29,2,2024
Partial power failure in Ward 4 in KDMC jurisdiction,electricity,1,KDMC,2023-10-20,10,2023
Water meter not working in BMC jurisdiction,water,0,BMC,2023-11-24,11,2023
Broken park bench at Nehru Park in PMC jurisdiction,parks,0,PMC,2024-09-03,9,2024
Minor pothole on Link Road in SMC jurisdiction,road,0,SMC,2024-08-23,8,2024
Street light not working at Ward 2,electricity,1,AMC,2024-05-08,5,2024
Leaking pipeline near Commercial Complex,water,1,RMC,2023-10-16,10,2023
Building plans not approved in LMC jurisdiction,building,1,LMC,2023-11-26,11,2023
Tap leaking at Industrial Area in TMC jurisdiction,water,0,TMC,2023-07-17,7,2023
Road markings faded on Gandhi Road in GMC jurisdiction,road,0,GMC,2024-09-20,9,2024
Transformer making noise at Ward 3 in CMC jurisdiction,electricity,1,CMC,2023-03-08,3,2023
Heritage building damage in HMC jurisdiction,building,2,HMC,2024-11-25,11,2024
Building plans not approved in WMC jurisdiction,building,1,WMC,2024-04-09,4,2024
Stagnant water causing mosquito breeding in BMC jurisdiction,water,1,BMC,2024-02-21,2,2024
Drainage cover broken on road in KDMC jurisdiction,road,1,KDMC,2023-12-04,12,2023
Construction waste on roadside,sanitation,1,SMC,2024-09-26,9,2024
Speed breaker damaged on Main Street,road,1,PMC,2024-01-22,1,2024
Littering in public park,sanitation,0,KMC,2024-03-28,3,2024
Park lights not functioning in TMC jurisdiction,electricity,0,TMC,2024-08-24,8,2024
Road markings faded on Hill Road,road,0,JMC,2024-06-14,6,2024
Stagnant water causing mosquito breeding in TMC jurisdiction,water,1,TMC,2024-01-02,1,2024
Road markings faded on Main Street,road,0,CMC,2023-07-23,7,2023
Bridge approach damaged near Middle Class Colony in AMC jurisdiction,road,2,AMC,2023-07-20,7,2023
Dead animal not removed in TMC jurisdiction,sanitation,2,TMC,2023-04-24,4,2023
Grass not maintained,parks,0,KMC,2023-07-16,7,2023
Recycling not being done,sanitation,0,MMC,2024-09-22,9,2024
Composting facility issue in GMC jurisdiction,sanitation,1,GMC,2024-08-20,8,2024
Power cut during office hours in DMC jurisdiction,electricity,1,DMC,2023-01-26,1,2023
Speed breaker damaged on Service Road,road,1,RMC,2024-06-09,6,2024
Heritage building damage in UMC jurisdiction,building,2,UMC,2023-11-03,11,2023
Overflowing water tank at Industrial Area in MMC jurisdiction,water,2,MMC,2024-07-25,7,2024
Large dangerous pothole on School Road causing accidents,road,2,NMC,2023-12-30,12,2023
Public tap not working at Affluent Society in NMC jurisdiction,water,0,NMC,2023-02-28,2,2023
Street light timing incorrect,electricity,0,CMC,2023-11-14,11,2023
Water quality issues in North Zone in LMC jurisdiction,water,2,LMC,2023-06-29,6,2023
Roadside vegetation obstructing view in MMC jurisdiction,road,1,MMC,2024-11-05,11,2024
High mast light not working,electricity,1,BMC,2023-06-11,6,2023
Emergency lights not working in KDMC jurisdiction,electricity,2,KDMC,2023-11-30,11,2023
Street light timing incorrect in VMC jurisdiction,electricity,0,VMC,2023-01-11,1,2023
Street light sensor not working,electricity,0,PMC,2023-06-22,6,2023
Drain cleaning overdue in KMC jurisdiction,sanitation,1,KMC,2023-08-10,8,2023
Composting facility issue in PMC jurisdiction,sanitation,1,PMC,2024-03-30,3,2024
Waterlogging on Hill Road during rain,road,2,CMC,2023-07-24,7,2023
Leaking pipeline near Middle Class Colony in WMC jurisdiction,water,1,WMC,2024-03-14,3,2024
Pothole developing on River View in AMC jurisdiction,road,1,AMC,2023-01-13,1,2023
Water contamination reported in Middle Class Colony,water,2,DMC,2024-08-05,8,2024
Low water pressure in East Zone in SMC jurisdiction,water,1,SMC,2023-05-08,5,2023
Building cracks noticed in NMC jurisdiction,building,1,NMC,2023-12-06,12,2023
Road surface cracks on Office Lane,road,0,SMC,2024-06-17,6,2024
Borewell not functioning in SMC jurisdiction,water,1,SMC,2023-09-12,9,2023
Electrical pole leaning dangerously,electricity,2,CMC,2024-05-07,5,2024
Unauthorized vendors in park,parks,1,KMC,2023-09-21,9,2023
Garbage truck leaking in KMC jurisdiction,sanitation,1,KMC,2024-11-28,11,2024
Leaking pipeline near Market Area in KDMC jurisdiction,water,1,KDMC,2024-03-13,3,2024
No water supply for 24+ hours,water,2,VMC,2023-04-02,4,2023
Tap leaking at Ward 6 in MMC jurisdiction,water,0,MMC,2024-12-21,12,2024
Electrical maintenance overdue in PMC jurisdiction,electricity,1,PMC,2023-08-06,8,2023
Road markings faded on Lake Side in CMC jurisdiction,road,0,CMC,2024-10-01,10,2024
Public bins missing in KDMC jurisdiction,sanitation,0,KDMC,2023-03-07,3,2023
Medical waste in regular garbage in DMC jurisdiction,sanitation,2,DMC,2023-12-11,12,2023
Public toilet in park dirty in VMC jurisdiction,parks,2,VMC,2024-12-30,12,2024
Street light not working at Ward 5 in HMC jurisdiction,electricity,1,HMC,2023-03-31,3,2023
Minor pothole on Lake Side,road,0,KDMC,2023-01-30,1,2023
Park closing early in KMC jurisdiction,parks,0,KMC,2024-05-18,5,2024
Composting facility issue,sanitation,1,UMC,2023-08-17,8,2023
Minor pothole on Service Road in VMC jurisdiction,road,0,VMC,2024-07-02,7,2024
Drain blockage at Affluent Society in RMC jurisdiction,water,1,RMC,2024-08-27,8,2024
Dumpster missing lid in JMC jurisdiction,sanitation,0,JMC,2024-12-06,12,2024
Water bill discrepancy for Ward 7,water,1,NMC,2024-07-15,7,2024
Large dangerous pothole on Service Road causing accidents in CMC jurisdiction,road,2,CMC,2023-06-17,6,2023
Leaking pipeline near Ward 7,water,1,KMC,2023-07-20,7,2023
Composting facility issue in KMC jurisdiction,sanitation,1,KMC,2023-05-02,5,2023
Unauthorized dumping ground in VMC jurisdiction,sanitation,2,VMC,2024-03-31,3,2024
Road surface cracks on MG Road in DMC jurisdiction,road,0,DMC,2024-08-09,8,2024
Tap leaking at Middle Class Colony in JMC jurisdiction,water,0,JMC,2024-12-18,12,2024
Electrical maintenance overdue in HMC jurisdiction,electricity,1,HMC,2024-08-21,8,2024
Speed breaker damaged on Main Street in JMC jurisdiction,road,1,JMC,2023-07-31,7,2023
Road surface cracks on Market Road in NMC jurisdiction,road,0,NMC,2023-08-10,8,2023
Irregular water supply timing in MMC jurisdiction,water,1,MMC,2023-09-24,9,2023
Walking track damaged in KDMC jurisdiction,parks,1,KDMC,2024-12-12,12,2024
Drainage cover broken on road,road,1,GMC,2024-07-31,7,2024
Public toilet unclean at South Zone,sanitation,1,MMC,2024-03-20,3,2024
Construction debris on Link Road in RMC jurisdiction,road,1,RMC,2023-08-20,8,2023
Missing manhole cover on Church Street,road,2,SMC,2023-05-07,5,2023
Tap leaking at Ward 6 in PMC jurisdiction,water,0,PMC,2024-02-03,2,2024
Composting facility issue in UMC jurisdiction,sanitation,1,UMC,2023-05-11,5,2023
Public toilet unclean at Residential Colony in KMC jurisdiction,sanitation,1,KMC,2023-10-01,10,2023
Garbage burning in open,sanitation,2,SMC,2023-07-07,7,2023
Water bill discrepancy for Market Area in NMC jurisdiction,water,1,NMC,2023-08-23,8,2023
Public toilet in park dirty,parks,2,MMC,2024-10-11,10,2024
Power theft suspected in Affluent Society,electricity,2,MMC,2023-05-20,5,2023
Power theft suspected in Ward 4 in UMC jurisdiction,electricity,2,UMC,2024-09-23,9,2024
Building material on road in VMC jurisdiction,building,1,VMC,2023-04-26,4,2023
Unauthorized dumping ground in PMC jurisdiction,sanitation,2,PMC,2023-10-28,10,2023
Stagnant water causing mosquito breeding,water,1,TMC,2023-07-10,7,2023
Speed breaker damaged on Hospital Lane in CMC jurisdiction,road,1,CMC,2023-06-07,6,2023
Grass not maintained in GMC jurisdiction,parks,0,GMC,2024-01-19,1,2024
Tap leaking at Industrial Area in GMC jurisdiction,water,0,GMC,2024-03-25,3,2024
Leaking pipeline near Ward 4 in RMC jurisdiction,water,1,RMC,2023-02-11,2,2023
Street light timing incorrect in CMC jurisdiction,electricity,0,CMC,2023-05-16,5,2023
Water meter not working in KMC jurisdiction,water,0,KMC,2023-07-24,7,2023
Large dangerous pothole on MG Road causing accidents in AMC jurisdiction,road,2,AMC,2023-11-26,11,2023
Exposed wires at Ward 6 in PMC jurisdiction,electricity,2,PMC,2024-05-18,5,2024
Public tap not working at Middle Class Colony,water,0,TMC,2023-05-14,5,2023
Stray animals in garbage in CMC jurisdiction,sanitation,1,CMC,2023-10-10,10,2023
Garbage truck leaking in HMC jurisdiction,sanitation,1,HMC,2023-08-14,8,2023
Water quality issues in East Zone,water,2,TMC,2023-10-14,10,2023
Construction noise after hours,building,1,CMC,2024-12-05,12,2024
Industrial waste mixing,sanitation,2,WMC,2023-08-14,8,2023
Sidewalk damaged on Garden Street in VMC jurisdiction,road,1,VMC,2024-03-20,3,2024
Tree needs pruning in AMC jurisdiction,parks,0,AMC,2023-06-30,6,2023
Public tap not working at Ward 2 in TMC jurisdiction,water,0,TMC,2023-03-27,3,2023
Road hump needs repainting on Station Road in CMC jurisdiction,road,0,CMC,2024-05-05,5,2024
Major road collapse on MG Road,road,2,MMC,2023-01-25,1,2023
Property tax assessment error in NMC jurisdiction,building,0,NMC,2023-12-08,12,2023
Public toilet in park dirty in BMC jurisdiction,parks,2,BMC,2024-06-27,6,2024
Tap leaking at Residential Colony in KMC jurisdiction,water,0,KMC,2024-05-21,5,2024
Public toilet unclean at East Zone in JMC jurisdiction,sanitation,1,JMC,2024-07-16,7,2024
Bio-medical waste not disposed properly in SMC jurisdiction,sanitation,2,SMC,2023-01-03,1,2023
Large dangerous pothole on Market Road causing accidents in AMC jurisdiction,road,2,AMC,2023-03-22,3,2023
Public tap not working at Ward 6 in BMC jurisdiction,water,0,BMC,2023-01-12,1,2023
Transformer making noise at West Zone,electricity,1,MMC,2024-06-18,6,2024
Building maintenance overdue in VMC jurisdiction,building,1,VMC,2024-02-06,2,2024
Public bins missing in RMC jurisdiction,sanitation,0,RMC,2023-04-22,4,2023
Water pipe burst at East Zone causing flooding in JMC jurisdiction,water,2,JMC,2024-07-08,7,2024
Road surface cracks on Temple Street in NMC jurisdiction,road,0,NMC,2023-02-03,2,2023
Roadside vegetation obstructing view in BMC jurisdiction,road,1,BMC,2023-11-19,11,2023
Medical waste in regular garbage in PMC jurisdiction,sanitation,2,PMC,2024-05-30,5,2024
Public bins missing in CMC jurisdiction,sanitation,0,CMC,2023-02-08,2,2023
Dumpster missing lid in HMC jurisdiction,sanitation,0,HMC,2023-05-15,5,2023
Water pipe burst at Residential Colony causing flooding in MMC jurisdiction,water,2,MMC,2024-09-17,9,2024
Water treatment plant issue in KDMC jurisdiction,water,2,KDMC,2023-11-18,11,2023
Water meter not working in CMC jurisdiction,water,0,CMC,2023-03-14,3,2023
Road hump needs repainting on Main Street in CMC jurisdiction,road,0,CMC,2023-10-21,10,2023
Pipeline repair work incomplete in HMC jurisdiction,water,1,HMC,2024-11-29,11,2024
Building permit delay in SMC jurisdiction,building,0,SMC,2023-04-18,4,2023
Pipeline repair work incomplete in UMC jurisdiction,water,1,UMC,2023-07-04,7,2023
Public toilet in park dirty in MMC jurisdiction,parks,2,MMC,2023-03-08,3,2023
Littering in public park in AMC jurisdiction,sanitation,0,AMC,2023-10-08,10,2023
Leaking pipeline near West Zone in MMC jurisdiction,water,1,MMC,2023-02-25,2,2023
Electrical pole leaning dangerously,electricity,2,MMC,2024-08-07,8,2024
Waterlogging on Park Avenue during rain,road,2,WMC,2024-08-15,8,2024
Water pipe burst at Ward 5 causing flooding,water,2,JMC,2023-06-01,6,2023
Unauthorized building modifications in LMC jurisdiction,building,2,LMC,2023-07-12,7,2023
Poor road repair work on Lake Side in LMC jurisdiction,road,1,LMC,2024-07-09,7,2024
Property tax assessment error in AMC jurisdiction,building,0,AMC,2023-07-01,7,2023
Pothole developing on Service Road,road,1,CMC,2023-08-05,8,2023
Play equipment damaged,parks,1,VMC,2023-08-18,8,2023
Park lights not functioning in CMC jurisdiction,electricity,0,CMC,2024-02-05,2,2024
Garbage burning in open in CMC jurisdiction,sanitation,2,CMC,2024-10-13,10,2024
Construction waste on roadside in PMC jurisdiction,sanitation,1,PMC,2024-09-02,9,2024
Road hump needs repainting on Park Avenue in TMC jurisdiction,road,0,TMC,2024-10-02,10,2024
Drain cleaning overdue,sanitation,1,JMC,2023-07-04,7,2023
Pipeline repair work incomplete,water,1,NMC,2024-05-22,5,2024
Tree branch fallen on road at Ward 6,road,2,CMC,2024-05-14,5,2024
